Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
No Weather (All),NO2,18,5.0105925,13.020008,6.4389586,-0.105487585
No Weather (All),PM10,18,28.972054,25.82422,128.959,-16.739536
No Weather (All),PM2.5,18,29.343319,23.89819,118.8717,-382.0733
No Weather (All),O3,24,10.06962,19.965666,13.643366,-0.38288438
No Weather (All),SO2,24,1.6606486,5.3878126,40.333298,-3737.7751
No Weather (All),CO,24,0.21124627,0.30553803,1.3488277,-66.20731
No Weather (All),NO2,24,5.1961684,13.192782,6.581483,-0.15853524
No Weather (All),PM10,24,27.441193,23.612658,92.95122,-8.268659
No Weather (All),PM2.5,24,16.523926,14.7439995,22.510956,-12.954161
No Weather (All),O3,30,10.608272,16.82148,14.318798,-0.5103649
No Weather (All),SO2,30,2.5656946,5.6057944,55.96018,-7209.993
No Weather (All),CO,30,0.18250431,0.3771355,1.628444,-97.20401
No Weather (All),NO2,30,4.401508,18.151278,13.361568,-3.7848716
No Weather (All),PM10,30,22.380928,20.46655,62.851894,-3.2426748
No Weather (All),PM2.5,30,12.032845,10.308068,16.348118,-6.4377193
No Weather (All),O3,36,10.611098,17.906082,14.428173,-0.5156896
No Weather (All),SO2,36,1.1405275,5.5342836,30.479702,-2141.4075
No Weather (All),CO,36,0.2006904,0.35227764,2.2423785,-185.28229
No Weather (All),NO2,36,4.994939,14.898681,7.9890943,-0.71025455
No Weather (All),PM10,36,23.434399,20.568893,67.99452,-3.9648838
No Weather (All),PM2.5,36,12.243174,10.624836,16.473042,-6.5546403
No Weather (All),O3,42,10.612954,21.535555,14.262504,-0.46845102
No Weather (All),SO2,42,4.5871415,5.613906,80.62544,-15023.094
No Weather (All),CO,42,0.31553933,0.3726887,10.274886,-3961.2783
No Weather (All),NO2,42,4.758394,15.016034,6.1950393,-0.03274405
No Weather (All),PM10,42,19.51776,19.593973,71.674034,-4.4897256
No Weather (All),PM2.5,42,12.189824,10.96399,23.831781,-14.78199
No Weather (All),O3,48,12.611544,28.69688,16.190367,-0.8787298
No Weather (All),SO2,48,2.365359,5.5375156,51.995255,-6335.5767
No Weather (All),CO,48,0.1694555,0.35893327,0.35927406,-3.8733392
No Weather (All),NO2,48,5.058003,14.398162,6.4752994,-0.13039482
No Weather (All),PM10,48,18.944653,18.692421,52.23142,-1.9149079
No Weather (All),PM2.5,48,10.416969,9.630722,13.657262,-4.201605
No Weather (All),O3,54,10.951712,23.659325,14.925804,-0.584388
No Weather (All),SO2,54,3.2539597,5.7409363,67.683235,-10836.168
No Weather (All),CO,54,0.14409378,0.4229651,0.59014523,-12.181229
No Weather (All),NO2,54,4.2035785,18.450705,6.0805836,0.0019116402
No Weather (All),PM10,54,17.839834,18.960102,36.70935,-0.44004297
No Weather (All),PM2.5,54,7.8694453,9.800158,10.481978,-2.0690486
No Weather (All),O3,60,11.727277,25.850878,16.354126,-0.8812343
No Weather (All),SO2,60,1.4461452,5.684552,38.997887,-3600.2822
No Weather (All),CO,60,0.16634306,0.37283757,0.580017,-11.74444
No Weather (All),NO2,60,4.8246765,15.807928,6.299727,-0.071305394
No Weather (All),PM10,60,18.720945,19.32272,52.90522,-1.9904945
No Weather (All),PM2.5,60,8.205923,9.68433,11.001137,-2.3815181
No Weather (All),O3,66,11.1166,23.597599,14.988726,-0.5676913
No Weather (All),SO2,66,5.268962,5.7864923,87.37819,-18122.676
No Weather (All),CO,66,0.2880411,0.37651774,7.2575893,-2014.9617
No Weather (All),NO2,66,4.7459903,15.542163,6.2183585,-0.047219276
No Weather (All),PM10,66,28.806776,26.75066,157.76819,-25.622814
No Weather (All),PM2.5,66,13.961138,10.688473,82.7147,-191.0461
No Weather (All),O3,72,11.492362,25.564655,15.002199,-0.55908716
No Weather (All),SO2,72,3.05258,5.673287,60.567814,-8762.428
No Weather (All),CO,72,0.2159792,0.3706286,3.232371,-401.5363
No Weather (All),NO2,72,5.01394,14.884173,6.5326624,-0.15779233
No Weather (All),PM10,72,17.008858,19.633186,53.785366,-2.0917242
No Weather (All),PM2.5,72,7.5353174,9.6606455,10.729264,-2.2334769
No Wind (Transport),O3,6,7.1244993,8.993137,8.91554,0.38977855
No Wind (Transport),SO2,6,0.3318545,5.8213143,0.5647094,0.27267373
No Wind (Transport),CO,6,0.10398609,0.2886526,0.13818516,0.30622834
No Wind (Transport),NO2,6,3.375972,9.228641,4.8055725,0.3902374
No Wind (Transport),PM10,6,9.550974,19.109724,28.66936,0.12646961
No Wind (Transport),PM2.5,6,2.481601,10.668324,5.1106086,0.29588598
No Wind (Transport),O3,12,7.0390263,7.7932377,8.949652,0.39342272
No Wind (Transport),SO2,12,0.3303481,5.8387,0.56601185,0.26801598
No Wind (Transport),CO,12,0.10344441,0.28329337,0.13745159,0.31358463
No Wind (Transport),NO2,12,3.4512858,8.821543,4.9186397,0.3595932
No Wind (Transport),PM10,12,9.502854,18.9372,28.699242,0.12451106
No Wind (Transport),PM2.5,12,2.5098958,11.254354,5.1997433,0.27455258
No Wind (Transport),O3,18,6.9289083,7.0642967,8.870777,0.40994912
No Wind (Transport),SO2,18,0.33598158,5.7755337,0.56670755,0.26402634
No Wind (Transport),CO,18,0.108023256,0.24901614,0.14092705,0.27000493
No Wind (Transport),NO2,18,3.3720925,8.30565,4.756082,0.39685565
No Wind (Transport),PM10,18,9.538116,18.36677,28.303526,0.14548415
No Wind (Transport),PM2.5,18,2.5857346,10.477302,5.2105055,0.26398838
No Wind (Transport),O3,24,6.931499,7.921184,8.838589,0.4196251
No Wind (Transport),SO2,24,0.33166236,5.7116103,0.5599829,0.27930522
No Wind (Transport),CO,24,0.10403093,0.26696467,0.13749614,0.30163157
No Wind (Transport),NO2,24,3.197252,9.244475,4.6168013,0.42990905
No Wind (Transport),PM10,24,9.493434,18.256811,27.88617,0.16577256
No Wind (Transport),PM2.5,24,2.5139058,11.4987755,5.1534033,0.26868558
No Wind (Transport),O3,30,6.8799434,8.841879,8.808988,0.42836243
No Wind (Transport),SO2,30,0.32259548,5.7039065,0.5539283,0.2934482
No Wind (Transport),CO,30,0.10291294,0.25729945,0.13658392,0.3091516
No Wind (Transport),NO2,30,3.2041912,8.263879,4.6144576,0.4293146
No Wind (Transport),PM10,30,9.5784445,18.143885,28.13747,0.14969814
No Wind (Transport),PM2.5,30,2.5268557,11.23957,5.1383405,0.26523244
No Wind (Transport),O3,36,6.979333,7.810673,9.067528,0.40136045
No Wind (Transport),SO2,36,0.3245769,5.6562066,0.5541697,0.29178327
No Wind (Transport),CO,36,0.10261771,0.26378855,0.13662937,0.30842078
No Wind (Transport),NO2,36,3.2877867,8.6416235,4.753581,0.39450938
No Wind (Transport),PM10,36,9.61701,17.514933,27.938845,0.16174126
No Wind (Transport),PM2.5,36,2.5764387,11.465568,5.2148194,0.24291486
No Wind (Transport),O3,42,6.804853,8.017029,8.874239,0.43150043
No Wind (Transport),SO2,42,0.33899605,5.607292,0.56105715,0.27245778
No Wind (Transport),CO,42,0.1061128,0.2329217,0.13915128,0.27328306
No Wind (Transport),NO2,42,3.3396406,7.3690333,4.7727504,0.38702607
No Wind (Transport),PM10,42,9.723667,16.914707,27.719559,0.17889333
No Wind (Transport),PM2.5,42,2.665718,10.329343,5.248652,0.23450166
No Wind (Transport),O3,48,7.2984533,9.294194,9.374358,0.37015456
No Wind (Transport),SO2,48,0.3353991,5.5848403,0.5538531,0.28102052
No Wind (Transport),CO,48,0.10259504,0.26365933,0.13596605,0.30203146
No Wind (Transport),NO2,48,3.2758167,8.026841,4.779096,0.38425344
No Wind (Transport),PM10,48,9.648491,16.976011,27.34777,0.2008928
No Wind (Transport),PM2.5,48,2.6573503,10.857389,5.2429023,0.23342681
No Wind (Transport),O3,54,7.169772,10.222589,9.283426,0.38708162
No Wind (Transport),SO2,54,0.33184782,5.603068,0.5513209,0.2809444
No Wind (Transport),CO,54,0.10217932,0.25091803,0.13549958,0.30511326
No Wind (Transport),NO2,54,3.2783098,6.9118733,4.7597394,0.3884319
No Wind (Transport),PM10,54,9.839487,16.565243,27.485117,0.19273299
No Wind (Transport),PM2.5,54,2.6421864,10.544217,5.2160974,0.2400086
No Wind (Transport),O3,60,7.5031524,8.396767,9.8071375,0.32349235
No Wind (Transport),SO2,60,0.3323761,5.6412244,0.5540751,0.27303696
No Wind (Transport),CO,60,0.10223855,0.24727285,0.13552289,0.3042317
No Wind (Transport),NO2,60,3.261808,7.8579435,4.7188244,0.39891285
No Wind (Transport),PM10,60,9.709065,16.960323,27.6846,0.1811158
