Scenario,Pollutant,Horizon,MAE,Crisis_MAE,
No Weather,CO,66,0.288041115,0.164507121,
No Weather,CO,72,0.215979204,0.157634929,
No Weather,O3,6,4.242120743,8.345972061,
No Weather,O3,12,5.391026497,5.815263748,
No Weather,O3,18,5.010592461,6.127778053,
No Weather,O3,24,5.196168423,6.006054878,
No Weather,O3,30,4.401507854,9.679487228,
No Weather,O3,36,4.99493885,6.963960648,
No Weather,O3,42,4.758393764,7.219743729,
No Weather,O3,48,5.058002949,6.685483456,
No Weather,O3,54,4.203578472,9.910241127,
No Weather,O3,60,4.824676514,7.648197174,
No Weather,O3,66,4.745990276,7.699444294,
No Weather,O3,72,5.013939857,7.101781845,
No Weather,SO2,6,25.20887756,23.94784355,
No Weather,SO2,12,26.15629005,24.22686768,
No Weather,SO2,18,28.97205353,26.12915611,
No Weather,SO2,24,27.44119263,23.75805473,
No Weather,SO2,30,22.38092804,20.76506424,
No Weather,SO2,36,23.43439865,20.87788582,
No Weather,SO2,42,19.51775932,20.23147392,
No Weather,SO2,48,18.94465256,19.27542496,
No Weather,SO2,54,17.83983421,19.63254356,
No Weather,SO2,60,18.72094536,19.9575882,
No Weather,SO2,66,28.80677605,27.67591286,
No Weather,SO2,72,17.00885773,20.46956253,
No Weather,PM2.5,6,21.42765236,26.1996479,
No Weather,PM2.5,12,20.97958374,25.07594872,
No Weather,PM2.5,18,29.34331894,31.21451378,
No Weather,PM2.5,24,16.52392578,17.8055439,
No Weather,PM2.5,30,12.03284454,11.76334381,
No Weather,PM2.5,36,12.2431736,12.16271877,
No Weather,PM2.5,42,12.1898241,12.02176762,
No Weather,PM2.5,48,10.4169693,9.660550117,
No Weather,PM2.5,54,7.869445324,7.125971317,
No Weather,PM2.5,60,8.20592308,7.560902119,
No Weather,PM2.5,66,13.96113777,11.63739586,
No Weather,PM2.5,72,7.535317421,6.561344624,
No Traffic,PM10,6,0.007022216,0.007644307,
No Traffic,PM10,12,0.007162039,0.00723085,
No Traffic,PM10,18,0.007011826,0.006208741,
No Traffic,PM10,24,0.006731627,0.006784076,
No Traffic,PM10,30,0.006921949,0.007038016,
No Traffic,PM10,36,0.007127244,0.00732614,
No Traffic,PM10,42,0.00688387,0.006542086,
No Traffic,PM10,48,0.0072725,0.008053343,
No Traffic,PM10,54,0.007381126,0.008097426,
No Traffic,PM10,60,0.007740393,0.008368464,
No Traffic,PM10,66,0.007156445,0.006441346,
No Traffic,PM10,72,0.007162783,0.007426326,
No Traffic,NO2,6,0.334798127,0.534980714,
No Traffic,NO2,12,0.337851137,0.528713048,
No Traffic,NO2,18,0.343113303,0.519023657,
No Traffic,NO2,24,0.339922726,0.516049147,
No Traffic,NO2,30,0.330660492,0.524897814,
No Traffic,NO2,36,0.336631656,0.518864512,
No Traffic,NO2,42,0.350534886,0.513790548,
No Traffic,NO2,48,0.344970882,0.519061744,
No Traffic,NO2,54,0.337709695,0.523762703,
No Traffic,NO2,60,0.342192858,0.524182916,
No Traffic,NO2,66,0.345221996,0.525317252,
No Traffic,NO2,72,0.346529573,0.530366719,
No Traffic,CO,6,0.101342715,0.137486786,
No Traffic,CO,12,0.102447681,0.129855633,
No Traffic,CO,18,0.10515748,0.124647915,
No Traffic,CO,24,0.103882164,0.127759144,
No Traffic,CO,30,0.103626527,0.125136435,
No Traffic,CO,36,0.104787573,0.123563007,
No Traffic,CO,42,0.104729086,0.122526623,
No Traffic,CO,48,0.102513276,0.12832512,
No Traffic,CO,54,0.101734817,0.131107017,
No Traffic,CO,60,0.102467678,0.126962617,
No Traffic,CO,66,0.104607351,0.125896379,
No Traffic,CO,72,0.103160217,0.134215251,
No Traffic,O3,6,3.272085428,4.973353863,
No Traffic,O3,12,3.461131573,4.718137741,
No Traffic,O3,18,3.228348255,4.703843594,
No Traffic,O3,24,3.166639328,4.869308949,
No Traffic,O3,30,3.206594467,4.718011856,
No Traffic,O3,36,3.335967779,4.518220901,
No Traffic,O3,42,3.278288603,4.661552906,
No Traffic,O3,48,3.292392015,4.644113541,
No Traffic,O3,54,3.255652189,4.64026165,
No Traffic,O3,60,3.262362242,4.693338394,
No Traffic,O3,66,3.275177717,4.863624096,
No Traffic,O3,72,3.3468647,4.954101086,
No Traffic,SO2,6,9.284047127,18.22521782,
No Traffic,SO2,12,9.238827705,17.61214066,
No Traffic,SO2,18,9.322603226,17.25505829,
No Traffic,SO2,24,9.506906509,17.10718536,
No Traffic,SO2,30,9.57671833,17.29052353,
No Traffic,SO2,36,9.84636116,16.95185661,
No Traffic,SO2,42,9.953101158,16.93751144,
No Traffic,SO2,48,9.919331551,16.82280159,
No Traffic,SO2,54,9.88978672,17.00901413,
No Traffic,SO2,60,9.723303795,17.36683655,
No Traffic,SO2,66,9.713783264,17.68171883,
No Traffic,SO2,72,9.867020607,17.70959854,
No Traffic,PM2.5,6,2.503535509,4.399720669,
No Traffic,PM2.5,12,2.520449638,4.400406361,
No Traffic,PM2.5,18,2.518633127,4.412705421,
No Traffic,PM2.5,24,2.505768299,4.486864567,
No Traffic,PM2.5,30,2.560237646,4.464200974,
No Traffic,PM2.5,36,2.630924463,4.502000809,
No Traffic,PM2.5,42,2.654194117,4.45459938,
No Traffic,PM2.5,48,2.673818588,4.427731991,
No Traffic,PM2.5,54,2.632308006,4.461917877,
No Traffic,PM2.5,60,2.591852188,4.521264553,
No Traffic,PM2.5,66,2.614636898,4.568850994,
No Traffic,PM2.5,72,2.632277966,4.688646317,
No Fire,PM10,6,0.006947279,0.007609364,
No Fire,PM10,12,0.007062718,0.007138453,
No Fire,PM10,18,0.006888748,0.006152253,
No Fire,PM10,24,0.006645912,0.006799848,
No Fire,PM10,30,0.006847277,0.007051885,
No Fire,PM10,36,0.007029637,0.007261957,
No Fire,PM10,42,0.006785416,0.006532928,
No Fire,PM10,48,0.007207146,0.00807794,
No Fire,PM10,54,0.007333143,0.008103119,
No Fire,PM10,60,0.00763983,0.008285535,
No Fire,PM10,66,0.007040129,0.006448721,
No Fire,PM10,72,0.007076429,0.007454137,
No Fire,NO2,6,0.329506397,0.537500262,
No Fire,NO2,12,0.331807673,0.530777395,
No Fire,NO2,18,0.336083621,0.518557131,
No Fire,NO2,24,0.332964092,0.51598841,
No Fire,NO2,30,0.324640304,0.527637899,
No Fire,NO2,36,0.33063066,0.519494832,
No Fire,NO2,42,0.344308674,0.513426006,
No Fire,NO2,48,0.339733362,0.519922435,
No Fire,NO2,54,0.333523005,0.52677685,
No Fire,NO2,60,0.337752312,0.525391757,
No Fire,NO2,66,0.340744913,0.525035143,
No Fire,NO2,72,0.342033237,0.529675007,
No Fire,CO,6,0.100640766,0.138508618,
No Fire,CO,12,0.101421475,0.1306701,
No Fire,CO,18,0.10384813,0.124792211,
No Fire,CO,24,0.102701992,0.128141269,
No Fire,CO,30,0.102428913,0.125223815,
No Fire,CO,36,0.103688203,0.123517923,
No Fire,CO,42,0.103821211,0.122274078,
No Fire,CO,48,0.101954445,0.128634363,
No Fire,CO,54,0.101234861,0.131048694,
No Fire,CO,60,0.102124155,0.126440555,
No Fire,CO,66,0.104445465,0.124669239,
No Fire,CO,72,0.10304942,0.133284956,
No Fire,O3,6,3.20588398,4.948263168,
No Fire,O3,12,3.365098476,4.694218636,
No Fire,O3,18,3.154144049,4.665360451,
No Fire,O3,24,3.100829124,4.815089226,
No Fire,O3,30,3.139183521,4.662146091,
No Fire,O3,36,3.261831522,4.483460426,
No Fire,O3,42,3.220516682,4.574540138,
No Fire,O3,48,3.240750551,4.55733633,
No Fire,O3,54,3.211164236,4.518884659,
No Fire,O3,60,3.215440273,4.554301739,
No Fire,O3,66,3.227657557,4.650576115,
No Fire,O3,72,3.299547434,4.746830463,
No Fire,SO2,6,9.156878471,18.41064644,
No Fire,SO2,12,9.104623795,17.80366516,
No Fire,SO2,18,9.170697212,17.44218826,
No Fire,SO2,24,9.323856354,17.24611855,
No Fire,SO2,30,9.395959854,17.48294067,
No Fire,SO2,36,9.631736755,17.09273338,
No Fire,SO2,42,9.741371155,17.082901,
No Fire,SO2,48,9.691526413,16.97424698,
No Fire,SO2,54,9.65886116,17.1560421,
No Fire,SO2,60,9.546923637,17.55677986,
No Fire,SO2,66,9.563383102,17.87571526,
No Fire,SO2,72,9.713027954,17.89621162,
No Fire,PM2.5,6,2.410729408,4.414324284,
No Fire,PM2.5,12,2.433938265,4.42172718,
No Fire,PM2.5,18,2.444762468,4.444207191,
No Fire,PM2.5,24,2.45190239,4.548550606,
No Fire,PM2.5,30,2.50440836,4.52248621,
No Fire,PM2.5,36,2.570611954,4.545376778,
No Fire,PM2.5,42,2.594485998,4.497501373,
No Fire,PM2.5,48,2.612236738,4.481510162,
No Fire,PM2.5,54,2.578700542,4.519179821,
No Fire,PM2.5,60,2.546580553,4.584902763,
No Fire,PM2.5,66,2.568801165,4.614771366,
No Fire,PM2.5,72,2.59014225,4.729621887,
No Smoke,PM10,6,0.006942882,0.007600804,
No Smoke,PM10,12,0.007053007,0.00711896,
No Smoke,PM10,18,0.006875615,0.006129296,
No Smoke,PM10,24,0.006638683,0.006787968,
No Smoke,PM10,30,0.006841566,0.007048869,
No Smoke,PM10,36,0.007019749,0.007244521,
No Smoke,PM10,42,0.006774127,0.006518597,
No Smoke,PM10,48,0.007202277,0.008073336,
No Smoke,PM10,54,0.007330076,0.008097162,
No Smoke,PM10,60,0.007631874,0.008267961,
No Smoke,PM10,66,0.007031883,0.006439297,
No Smoke,PM10,72,0.007076769,0.007454383,
No Smoke,NO2,6,0.328672171,0.537133396,
No Smoke,NO2,12,0.330996782,0.530639827,
No Smoke,NO2,18,0.335217983,0.518351138,
No Smoke,NO2,24,0.332214713,0.515791476,
No Smoke,NO2,30,0.323883742,0.527524829,
No Smoke,NO2,36,0.32991907,0.519561172,
No Smoke,NO2,42,0.343493104,0.513539612,
No Smoke,NO2,48,0.339103967,0.52009809,
No Smoke,NO2,54,0.33287254,0.526910365,
No Smoke,NO2,60,0.337086499,0.525574386,
No Smoke,NO2,66,0.34002921,0.525129199,
No Smoke,NO2,72,0.341407955,0.529779971,
No Smoke,CO,6,0.10055571,0.138451248,
No Smoke,CO,12,0.101351373,0.130675182,
No Smoke,CO,18,0.103722289,0.124821283,
No Smoke,CO,24,0.102610968,0.128153041,
No Smoke,CO,30,0.10234496,0.125282913,
No Smoke,CO,36,0.103656732,0.12357533,
No Smoke,CO,42,0.103761248,0.122386336,
No Smoke,CO,48,0.101928994,0.128657818,
No Smoke,CO,54,0.101191826,0.131101415,
No Smoke,CO,60,0.102066353,0.126461476,
No Smoke,CO,66,0.104332283,0.124698542,
No Smoke,CO,72,0.102985464,0.13317889,
No Smoke,O3,6,3.204577923,4.942068577,
