Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
Baseline (All On),O3,54,7.33649,10.356979,9.494196,0.35893434
Baseline (All On),SO2,54,0.33369422,5.603676,0.55421054,0.27338696
Baseline (All On),CO,54,0.10125497,0.24506466,0.13391635,0.3212571
Baseline (All On),NO2,54,3.213131,7.0701084,4.652666,0.4156376
Baseline (All On),PM10,54,9.67633,16.478615,27.134506,0.21319723
Baseline (All On),PM2.5,54,2.5834098,10.263311,5.1817737,0.24997777
Baseline (All On),O3,60,7.646183,8.767739,9.892092,0.3117211
Baseline (All On),SO2,60,0.33791664,5.5995293,0.5579975,0.2627079
Baseline (All On),CO,60,0.10217281,0.23825629,0.13511078,0.30845678
Baseline (All On),NO2,60,3.2176206,7.370787,4.6380787,0.41930783
Baseline (All On),PM10,60,9.563193,16.843573,27.412727,0.19712031
Baseline (All On),PM2.5,60,2.5506458,10.492123,5.169376,0.2533573
Baseline (All On),O3,66,7.0444617,7.0893707,9.357003,0.38905144
Baseline (All On),SO2,66,0.34096155,5.6388574,0.56173253,0.25096965
Baseline (All On),CO,66,0.10452051,0.2347717,0.13734363,0.2780376
Baseline (All On),NO2,66,3.2301178,7.4987545,4.670371,0.40927017
Baseline (All On),PM10,66,9.579233,17.146244,27.703955,0.17908418
Baseline (All On),PM2.5,66,2.5731099,10.452068,5.189852,0.24395078
Baseline (All On),O3,72,7.080007,8.870095,9.299984,0.40086472
Baseline (All On),SO2,72,0.34223154,5.696167,0.56257623,0.24394572
Baseline (All On),CO,72,0.10310513,0.25455657,0.13577206,0.2897954
Baseline (All On),NO2,72,3.302384,7.68302,4.749388,0.38803643
Baseline (All On),PM10,72,9.728085,17.168074,28.300943,0.14399892
Baseline (All On),PM2.5,72,2.593931,10.812948,5.2279944,0.23228484
No Weather,O3,6,10.524956,18.281963,14.212288,-0.55067277
No Weather,SO2,6,2.1356926,5.495468,48.65751,-5398.8164
No Weather,CO,6,0.19319642,0.36356747,2.994754,-324.84882
No Weather,NO2,6,4.2421207,16.243826,5.8370824,0.100373566
No Weather,PM10,6,25.208878,23.871553,53.557774,-2.048506
No Weather,PM2.5,6,21.427652,21.540781,32.8243,-28.046154
No Weather,O3,12,10.564118,17.94464,14.079266,-0.50118375
No Weather,SO2,12,0.80837584,5.467807,19.81806,-896.37274
No Weather,CO,12,0.16502729,0.32118213,0.24288243,-1.1432838
No Weather,NO2,12,5.3910265,12.417406,6.915737,-0.26602685
No Weather,PM10,12,26.15629,24.17126,63.483597,-3.2838364
No Weather,PM2.5,12,20.979584,20.782906,29.712637,-22.687792
No Weather,O3,18,10.349399,16.235432,13.853813,-0.4391458
No Weather,SO2,18,2.88562,5.5908237,60.04789,-8262.038
No Weather,CO,18,0.3102345,0.336586,9.255466,-3147.6755
No Weather,NO2,18,5.0105925,13.020008,6.4389586,-0.105487585
No Weather,PM10,18,28.972054,25.82422,128.959,-16.739536
No Weather,PM2.5,18,29.343319,23.89819,118.8717,-382.0733
No Weather,O3,24,10.06962,19.965666,13.643366,-0.38288438
No Weather,SO2,24,1.6606486,5.3878126,40.333298,-3737.7751
No Weather,CO,24,0.21124627,0.30553803,1.3488277,-66.20731
No Weather,NO2,24,5.1961684,13.192782,6.581483,-0.15853524
No Weather,PM10,24,27.441193,23.612658,92.95122,-8.268659
No Weather,PM2.5,24,16.523926,14.7439995,22.510956,-12.954161
No Weather,O3,30,10.608272,16.82148,14.318798,-0.5103649
No Weather,SO2,30,2.5656946,5.6057944,55.96018,-7209.993
No Weather,CO,30,0.18250431,0.3771355,1.628444,-97.20401
No Weather,NO2,30,4.401508,18.151278,13.361568,-3.7848716
No Weather,PM10,30,22.380928,20.46655,62.851894,-3.2426748
No Weather,PM2.5,30,12.032845,10.308068,16.348118,-6.4377193
No Weather,O3,36,10.611098,17.906082,14.428173,-0.5156896
No Weather,SO2,36,1.1405275,5.5342836,30.479702,-2141.4075
No Weather,CO,36,0.2006904,0.35227764,2.2423785,-185.28229
No Weather,NO2,36,4.994939,14.898681,7.9890943,-0.71025455
No Weather,PM10,36,23.434399,20.568893,67.99452,-3.9648838
No Weather,PM2.5,36,12.243174,10.624836,16.473042,-6.5546403
No Weather,O3,42,10.612954,21.535555,14.262504,-0.46845102
No Weather,SO2,42,4.5871415,5.613906,80.62544,-15023.094
No Weather,CO,42,0.31553933,0.3726887,10.274886,-3961.2783
No Weather,NO2,42,4.758394,15.016034,6.1950393,-0.03274405
No Weather,PM10,42,19.51776,19.593973,71.674034,-4.4897256
No Weather,PM2.5,42,12.189824,10.96399,23.831781,-14.78199
No Weather,O3,48,12.611544,28.69688,16.190367,-0.8787298
No Weather,SO2,48,2.365359,5.5375156,51.995255,-6335.5767
No Weather,CO,48,0.1694555,0.35893327,0.35927406,-3.8733392
No Weather,NO2,48,5.058003,14.398162,6.4752994,-0.13039482
No Weather,PM10,48,18.944653,18.692421,52.23142,-1.9149079
No Weather,PM2.5,48,10.416969,9.630722,13.657262,-4.201605
No Weather,O3,54,10.951712,23.659325,14.925804,-0.584388
No Weather,SO2,54,3.2539597,5.7409363,67.683235,-10836.168
No Weather,CO,54,0.14409378,0.4229651,0.59014523,-12.181229
No Weather,NO2,54,4.2035785,18.450705,6.0805836,0.0019116402
No Weather,PM10,54,17.839834,18.960102,36.70935,-0.44004297
No Weather,PM2.5,54,7.8694453,9.800158,10.481978,-2.0690486
No Weather,O3,60,11.727277,25.850878,16.354126,-0.8812343
No Weather,SO2,60,1.4461452,5.684552,38.997887,-3600.2822
No Weather,CO,60,0.16634306,0.37283757,0.580017,-11.74444
No Weather,NO2,60,4.8246765,15.807928,6.299727,-0.071305394
No Weather,PM10,60,18.720945,19.32272,52.90522,-1.9904945
No Weather,PM2.5,60,8.205923,9.68433,11.001137,-2.3815181
No Weather,O3,66,11.1166,23.597599,14.988726,-0.5676913
No Weather,SO2,66,5.268962,5.7864923,87.37819,-18122.676
No Weather,CO,66,0.2880411,0.37651774,7.2575893,-2014.9617
No Weather,NO2,66,4.7459903,15.542163,6.2183585,-0.047219276
No Weather,PM10,66,28.806776,26.75066,157.76819,-25.622814
No Weather,PM2.5,66,13.961138,10.688473,82.7147,-191.0461
No Weather,O3,72,11.492362,25.564655,15.002199,-0.55908716
No Weather,SO2,72,3.05258,5.673287,60.567814,-8762.428
No Weather,CO,72,0.2159792,0.3706286,3.232371,-401.5363
No Weather,NO2,72,5.01394,14.884173,6.5326624,-0.15779233
No Weather,PM10,72,17.008858,19.633186,53.785366,-2.0917242
No Weather,PM2.5,72,7.5353174,9.6606455,10.729264,-2.2334769
No Traffic,O3,6,7.022216,8.882027,8.807387,0.4044937
No Traffic,SO2,6,0.33479813,5.6336718,0.56220293,0.27911592
No Traffic,CO,6,0.101342715,0.25190675,0.134183,0.34583282
No Traffic,NO2,6,3.2720854,8.078813,4.719511,0.4118818
No Traffic,PM10,6,9.284047,17.481773,27.570845,0.19212866
No Traffic,PM2.5,6,2.5035355,9.856741,5.0581346,0.31027097
No Traffic,O3,12,7.162041,7.7219415,9.056796,0.37881196
No Traffic,SO2,12,0.33785114,5.5595512,0.5622984,0.27758908
No Traffic,CO,12,0.10244768,0.23661833,0.13536134,0.33430266
No Traffic,NO2,12,3.4611316,6.954074,5.015535,0.33411318
No Traffic,PM10,12,9.238828,16.902937,26.980024,0.22626102
No Traffic,PM2.5,12,2.5204496,9.768007,5.07254,0.30961227
No Traffic,O3,18,7.011826,6.345299,8.943515,0.40023303
No Traffic,SO2,18,0.3431133,5.454793,0.5636685,0.27189875
No Traffic,CO,18,0.10515748,0.2214618,0.13779742,0.30206746
No Traffic,NO2,18,3.2283483,7.4990788,4.6636333,0.42007554
No Traffic,PM10,18,9.322603,16.560183,26.662327,0.24171036
No Traffic,PM2.5,18,2.5186331,9.905878,5.067071,0.3039524
No Traffic,O3,24,6.731627,7.9594855,8.61929,0.44806767
No Traffic,SO2,24,0.33992273,5.431451,0.5595158,0.2805071
No Traffic,CO,24,0.103882164,0.23039126,0.13624291,0.3143043
No Traffic,NO2,24,3.1666393,7.8072767,4.57804,0.43944156
No Traffic,PM10,24,9.5069065,16.422398,26.798618,0.22957295
No Traffic,PM2.5,24,2.5057683,10.270788,5.069019,0.2924394
No Traffic,O3,30,6.9219494,8.450431,8.863524,0.42126244
No Traffic,SO2,30,0.3306605,5.472718,0.5542198,0.29270446
No Traffic,CO,30,0.10362653,0.2223582,0.13604797,0.31456262
No Traffic,NO2,30,3.2065945,7.3215003,4.647493,0.4211142
No Traffic,PM10,30,9.576718,16.581976,27.266449,0.20152706
No Traffic,PM2.5,30,2.5602376,10.089542,5.1156054,0.27172017
No Traffic,O3,36,7.1272407,7.7872024,9.146284,0.39091623
No Traffic,SO2,36,0.33663166,5.389651,0.55595416,0.28721493
No Traffic,CO,36,0.10478757,0.22297892,0.13746905,0.2998942
No Traffic,NO2,36,3.3359678,6.740053,4.8091183,0.38027853
No Traffic,PM10,36,9.846361,16.277805,27.309996,0.1990518
No Traffic,PM2.5,36,2.6309245,9.992623,5.1956487,0.24847102
No Traffic,O3,42,6.883873,7.214128,8.949369,0.42183363
No Traffic,SO2,42,0.3505349,5.361803,0.56521386,0.2616375
No Traffic,CO,42,0.104729086,0.22480926,0.13695,0.29609346
No Traffic,NO2,42,3.2782886,7.496611,4.7037396,0.40462422
No Traffic,PM10,42,9.953101,16.261309,27.32421,0.20214838
No Traffic,PM2.5,42,2.654194,10.062088,5.231443,0.2395131
No Traffic,O3,48,7.2724977,9.809016,9.351699,0.3731957
No Traffic,SO2,48,0.34497088,5.383986,0.5577002,0.2709977
No Traffic,CO,48,0.102513276,0.24660206,0.13467246,0.31524926
No Traffic,NO2,48,3.292392,7.3797097,4.740957,0.39404213
No Traffic,PM10,48,9.919332,16.161837,26.89347,0.22722173
No Traffic,PM2.5,48,2.6738186,10.184539,5.2377887,0.2349214
No Traffic,O3,54,7.3811264,10.282354,9.536875,0.353158
No Traffic,SO2,54,0.3377097,5.42353,0.5533636,0.2756061
No Traffic,CO,54,0.10173482,0.2455195,0.13401379,0.32026905
No Traffic,NO2,54,3.2556522,7.5035367,4.711305,0.400815
No Traffic,PM10,54,9.889787,16.341085,27.111326,0.21454096
No Traffic,PM2.5,54,2.632308,10.235822,5.2058935,0.24297917
No Traffic,O3,60,7.7403913,8.824841,9.991348,0.29783952
No Traffic,SO2,60,0.34219286,5.417762,0.5578392,0.26312613
No Traffic,CO,60,0.10246768,0.23945704,0.13496777,0.30991983
No Traffic,NO2,60,3.2623622,7.8194284,4.700957,0.40345615
No Traffic,PM10,60,9.723304,16.663422,27.379082,0.19909006
No Traffic,PM2.5,60,2.5918522,10.479008,5.187417,0.24813664
No Traffic,O3,66,7.1564484,6.9676747,9.484064,0.3723464
No Traffic,SO2,66,0.345222,5.461132,0.5619873,0.25029016
No Traffic,CO,66,0.10460735,0.23738204,0.13700606,0.28158218
No Traffic,NO2,66,3.2751777,8.130885,4.741546,0.39112788
No Traffic,PM10,66,9.713783,16.961645,27.677721,0.18063813
No Traffic,PM2.5,66,2.614637,10.465108,5.2085953,0.23847991
No Traffic,O3,72,7.162781,8.809866,9.391577,0.38900518
No Traffic,SO2,72,0.34652957,5.5264196,0.5629646,0.2429015
No Traffic,CO,72,0.10316022,0.25745803,0.13546197,0.2930358
No Traffic,NO2,72,3.3468647,8.280668,4.8220377,0.36917126
No Traffic,PM10,72,9.867021,16.993359,28.294146,0.14441007
No Traffic,PM2.5,72,2.632278,10.849236,5.2468777,0.22672892
No Fire,O3,6,6.947277,8.925245,8.7141695,0.41703278
No Fire,SO2,6,0.3295064,5.790472,0.5624147,0.27857268
No Fire,CO,6,0.10064077,0.25447655,0.13365291,0.35099125
No Fire,NO2,6,3.205884,7.8780437,4.6435084,0.4306714
No Fire,PM10,6,9.156878,17.649797,27.626173,0.18888307
No Fire,PM2.5,6,2.4107294,10.060217,5.002094,0.3254698
No Fire,O3,12,7.0627193,7.666131,8.930218,0.3960542
No Fire,SO2,12,0.33180767,5.725623,0.56183064,0.2787906
No Fire,CO,12,0.101421475,0.23958956,0.13446642,0.34307587
No Fire,NO2,12,3.3650985,6.8825397,4.911331,0.36149484
No Fire,PM10,12,9.104624,17.075653,27.076689,0.2207067
No Fire,PM2.5,12,2.4339383,9.946006,5.0261784,0.32217437
No Fire,O3,18,6.888747,6.3887944,8.7935295,0.42018086
No Fire,SO2,18,0.33608362,5.636652,0.56204545,0.27608573
No Fire,CO,18,0.10384813,0.22400144,0.13657415,0.31440407
No Fire,NO2,18,3.154144,7.265781,4.5793576,0.4408456
No Fire,PM10,18,9.170697,16.728598,26.750038,0.23671305
No Fire,PM2.5,18,2.4447625,10.046114,5.0315967,0.31366438
No Fire,O3,24,6.6459107,8.06674,8.517255,0.4610579
No Fire,SO2,24,0.3329641,5.614086,0.5581395,0.28404236
No Fire,CO,24,0.10270199,0.23233284,0.13520087,0.32475317
No Fire,NO2,24,3.1008291,7.504598,4.500366,0.45830172
No Fire,PM10,24,9.323856,16.543238,26.82025,0.22832865
No Fire,PM2.5,24,2.4519024,10.390594,5.0437503,0.29947603
No Fire,O3,30,6.847279,8.59297,8.777725,0.43241268
No Fire,SO2,30,0.3246403,5.6480794,0.5541331,0.29292566
No Fire,CO,30,0.10242891,0.22374558,0.13499059,0.32517588
No Fire,NO2,30,3.1391835,7.0355806,4.5696297,0.44034874
No Fire,PM10,30,9.39596,16.75442,27.26934,0.20135778
No Fire,PM2.5,30,2.5044084,10.184616,5.083608,0.28080213
No Fire,O3,36,7.029638,7.7801394,9.0344715,0.4057172
No Fire,SO2,36,0.33063066,5.572688,0.5552655,0.28897977
No Fire,CO,36,0.1036882,0.22419178,0.1365575,0.30914825
No Fire,NO2,36,3.2618315,6.5661674,4.7278976,0.40103453
No Fire,PM10,36,9.631737,16.397087,27.302473,0.19949293
No Fire,PM2.5,36,2.570612,10.065278,5.158621,0.25914466
No Fire,O3,42,6.785413,7.333189,8.836663,0.43630445
No Fire,SO2,42,0.34430867,5.546724,0.5640331,0.26471913
No Fire,CO,42,0.10382121,0.22557971,0.13632248,0.30252934
No Fire,NO2,42,3.2205167,7.1394677,4.634109,0.42212075
No Fire,PM10,42,9.741371,16.387234,27.315132,0.20267832
No Fire,PM2.5,42,2.594486,10.130489,5.1950912,0.25004512
No Fire,O3,48,7.2071466,9.897184,9.286177,0.38194823
No Fire,SO2,48,0.33973336,5.567688,0.55765605,0.2711131
No Fire,CO,48,0.101954445,0.24715886,0.13444094,0.31760156
No Fire,NO2,48,3.2407506,7.044057,4.678549,0.40989023
No Fire,PM10,48,9.691526,16.290945,26.873447,0.2283721
No Fire,PM2.5,48,2.6122367,10.2551565,5.2004437,0.24579251
No Fire,O3,54,7.3331456,10.345386,9.4904785,0.35943627
No Fire,SO2,54,0.333523,5.606836,0.5542687,0.27323437
No Fire,CO,54,0.10123486,0.24521562,0.13385157,0.32191366
No Fire,NO2,54,3.2111642,7.0642033,4.6507993,0.41610646
No Fire,PM10,54,9.658861,16.465033,27.115953,0.2142728
No Fire,PM2.5,54,2.5787005,10.281589,5.175674,0.25174254
No Fire,O3,60,7.6398277,8.754384,9.884154,0.31282526
No Fire,SO2,60,0.3377523,5.602444,0.55803704,0.2626034
No Fire,CO,60,0.102124155,0.23838615,0.13501507,0.3094362
No Fire,NO2,60,3.2154403,7.3624187,4.6360087,0.4198259
No Fire,PM10,60,9.546924,16.832285,27.396317,0.19808137
No Fire,PM2.5,60,2.5465806,10.511535,5.1640577,0.25489277
No Fire,O3,66,7.0401306,7.0810547,9.351997,0.38970488
No Fire,SO2,66,0.3407449,5.642019,0.5617531,0.2509148
No Fire,CO,66,0.104445465,0.23491643,0.13722487,0.27928573
No Fire,NO2,66,3.2276576,7.4915147,4.6678996,0.4098953
No Fire,PM10,66,9.563383,17.136894,27.692892,0.17973965
No Fire,PM2.5,66,2.5688012,10.47377,5.18436,0.24555004
No Fire,O3,72,7.076427,8.862996,9.296472,0.40131718
No Fire,SO2,72,0.34203324,5.699913,0.5626341,0.24379021
No Fire,CO,72,0.10304942,0.25460792,0.1356692,0.29087114
No Fire,NO2,72,3.2995474,7.67925,4.746566,0.3887635
No Fire,PM10,72,9.713028,17.160614,28.290327,0.14464092
No Fire,PM2.5,72,2.5901423,10.832646,5.2234116,0.23363018
No Smoke,O3,6,6.9428825,8.927244,8.708041,0.4178524
No Smoke,SO2,6,0.32867217,5.7911744,0.5616563,0.28051698
No Smoke,CO,6,0.10055571,0.2543794,0.13355298,0.35196126
No Smoke,NO2,6,3.204578,7.8534336,4.641882,0.4310701
No Smoke,PM10,6,9.121819,17.634659,27.595757,0.19066817
No Smoke,PM2.5,6,2.3997593,10.122903,4.9937515,0.32771778
No Smoke,O3,12,7.053007,7.646814,8.916902,0.3978539
No Smoke,SO2,12,0.33099678,5.7270722,0.56108207,0.28071105
No Smoke,CO,12,0.10135137,0.23955318,0.13439584,0.3437655
No Smoke,NO2,12,3.3664567,6.8588486,4.9145727,0.3606518
No Smoke,PM10,12,9.064688,17.061932,27.027205,0.22355253
No Smoke,PM2.5,12,2.425115,10.007195,5.0186057,0.32421535
No Smoke,O3,18,6.875613,6.362512,8.777126,0.422342
No Smoke,SO2,18,0.33521798,5.6384854,0.5612802,0.27805567
No Smoke,CO,18,0.10372229,0.22422677,0.13643204,0.3158301
No Smoke,NO2,18,3.1537893,7.246877,4.579344,0.440849
No Smoke,PM10,18,9.1233835,16.72199,26.682846,0.24054283
No Smoke,PM2.5,18,2.4377825,10.117693,5.0235276,0.3158639
No Smoke,O3,24,6.638683,8.070467,8.506759,0.46238548
No Smoke,SO2,24,0.3322147,5.6154656,0.55747175,0.28575432
No Smoke,CO,24,0.10261097,0.23246808,0.13510771,0.32568353
No Smoke,NO2,24,3.1016674,7.4809556,4.502214,0.45785683
No Smoke,PM10,24,9.271946,16.549866,26.742208,0.23281288
No Smoke,PM2.5,24,2.4493854,10.456673,5.037611,0.30118036
No Smoke,O3,30,6.8415647,8.606189,8.770043,0.43340564
No Smoke,SO2,30,0.32388374,5.6489415,0.55343115,0.29471594
No Smoke,CO,30,0.10234496,0.22396348,0.13491186,0.32596284
No Smoke,NO2,30,3.1396222,7.011963,4.5712686,0.43994725
No Smoke,PM10,30,9.348349,16.774845,27.182959,0.20640957
No Smoke,PM2.5,30,2.5028145,10.254517,5.075719,0.28303272
No Smoke,O3,36,7.019749,7.760496,9.020827,0.40751094
No Smoke,SO2,36,0.32991907,5.5745335,0.55459315,0.2907005
No Smoke,CO,36,0.10365673,0.22429967,0.13653232,0.309403
No Smoke,NO2,36,3.2645097,6.5430346,4.733403,0.3996387
No Smoke,PM10,36,9.595192,16.426447,27.235678,0.20340502
No Smoke,PM2.5,36,2.5699966,10.125715,5.1504984,0.26147592
No Smoke,O3,42,6.774127,7.324417,8.820727,0.43833578
No Smoke,SO2,42,0.3434931,5.5491743,0.5632881,0.26666033
No Smoke,CO,42,0.10376125,0.22592744,0.13625403,0.30322963
No Smoke,NO2,42,3.2208261,7.113463,4.6365457,0.4215129
No Smoke,PM10,42,9.712396,16.411596,27.28065,0.20469016
No Smoke,PM2.5,42,2.592989,10.1860285,5.187183,0.25232673
No Smoke,O3,48,7.2022753,9.904165,9.279146,0.38288385
No Smoke,SO2,48,0.33910397,5.5701947,0.55707395,0.27263403
No Smoke,CO,48,0.101928994,0.24718042,0.13440703,0.3179459
No Smoke,NO2,48,3.2416325,7.019304,4.681655,0.4091065
No Smoke,PM10,48,9.668427,16.306671,26.851715,0.2296195
No Smoke,PM2.5,48,2.6109416,10.303017,5.1937146,0.24774301
No Smoke,O3,54,7.3300714,10.344563,9.485756,0.3600737
No Smoke,SO2,54,0.33287254,5.6088486,0.553706,0.27470946
No Smoke,CO,54,0.101191826,0.24524702,0.1337953,0.32248354
No Smoke,NO2,54,3.2105763,7.034437,4.650537,0.41617233
No Smoke,PM10,54,9.634202,16.478945,27.098265,0.21529752
No Smoke,PM2.5,54,2.5776489,10.333105,5.1713915,0.25298017
No Smoke,O3,60,7.6318746,8.72593,9.872565,0.31443572
No Smoke,SO2,60,0.3370865,5.6041217,0.55743533,0.2641927
No Smoke,CO,60,0.10206635,0.23832186,0.13493688,0.31023574
No Smoke,NO2,60,3.215506,7.330877,4.636289,0.41975582
No Smoke,PM10,60,9.522437,16.845192,27.380344,0.1990161
No Smoke,PM2.5,60,2.5466423,10.563472,5.1615114,0.2556274
No Smoke,O3,66,7.0318832,7.0762024,9.339829,0.39129198
No Smoke,SO2,66,0.3400292,5.644426,0.5611544,0.2525106
No Smoke,CO,66,0.10433228,0.2348545,0.13707833,0.28082418
No Smoke,NO2,66,3.2255266,7.461542,4.6655526,0.41048855
No Smoke,PM10,66,9.535755,17.143044,27.673338,0.18089765
No Smoke,PM2.5,66,2.56682,10.521018,5.1797028,0.24690497
No Smoke,O3,72,7.0767703,8.870845,9.294567,0.4015625
No Smoke,SO2,72,0.34140795,5.7020802,0.5620823,0.24527282
No Smoke,CO,72,0.102985464,0.2541394,0.13557062,0.2919013
No Smoke,NO2,72,3.2973545,7.6408525,4.7442207,0.38936734
No Smoke,PM10,72,9.686252,17.164202,28.269955,0.14587247
No Smoke,PM2.5,72,2.5887473,10.879793,5.2208877,0.23437053
No Fire & Smoke,O3,6,6.938825,8.922848,8.703709,0.41843152
No Fire & Smoke,SO2,6,0.32827508,5.79439,0.5616203,0.2806093
No Fire & Smoke,CO,6,0.10046064,0.25492814,0.13341536,0.35329622
No Fire & Smoke,NO2,6,3.202184,7.879607,4.6400714,0.4315139
No Fire & Smoke,PM10,6,9.120626,17.650564,27.585575,0.19126517
No Fire & Smoke,PM2.5,6,2.3990376,10.183796,4.995038,0.32737136
No Fire & Smoke,O3,12,7.048806,7.638847,8.912041,0.39851034
No Fire & Smoke,SO2,12,0.33057046,5.730299,0.56100154,0.28091758
No Fire & Smoke,CO,12,0.101244435,0.24004838,0.13424498,0.34523785
No Fire & Smoke,NO2,12,3.3620536,6.8733435,4.9094787,0.36197644
No Fire & Smoke,PM10,12,9.061491,17.07997,27.021372,0.22388762
No Fire & Smoke,PM2.5,12,2.4241061,10.061853,5.0190706,0.32409012
No Fire & Smoke,O3,18,6.872193,6.3574553,8.77359,0.42280734
No Fire & Smoke,SO2,18,0.33469692,5.6422014,0.5611227,0.27846074
No Fire & Smoke,CO,18,0.10360424,0.22476125,0.1362635,0.3175193
No Fire & Smoke,NO2,18,3.1508586,7.262778,4.5764704,0.4415505
No Fire & Smoke,PM10,18,9.11622,16.735264,26.669998,0.241274
No Fire & Smoke,PM2.5,18,2.436444,10.168994,5.02244,0.31616014
No Fire & Smoke,O3,24,6.634251,8.063267,8.502181,0.46296382
No Fire & Smoke,SO2,24,0.331751,5.6195517,0.55738986,0.2859642
No Fire & Smoke,CO,24,0.10252524,0.23293172,0.13497059,0.32705146
No Fire & Smoke,NO2,24,3.0992973,7.490492,4.500085,0.4583695
No Fire & Smoke,PM10,24,9.261825,16.557478,26.728113,0.23362148
No Fire & Smoke,PM2.5,24,2.4481225,10.49944,5.0362067,0.30156994
No Fire & Smoke,O3,30,6.838005,8.604578,8.766586,0.4338522
No Fire & Smoke,SO2,30,0.32348377,5.6524467,0.5533633,0.29488885
No Fire & Smoke,CO,30,0.10228737,0.22439896,0.13480416,0.3270386
No Fire & Smoke,NO2,30,3.1372805,7.015971,4.5687504,0.44056416
No Fire & Smoke,PM10,30,9.33934,16.779644,27.170128,0.2071585
No Fire & Smoke,PM2.5,30,2.5006194,10.288379,5.072785,0.28386128
No Fire & Smoke,O3,36,7.015713,7.7517266,9.016483,0.4080814
No Fire & Smoke,SO2,36,0.32950482,5.5777555,0.55445385,0.2910568
No Fire & Smoke,CO,36,0.10361072,0.22466746,0.13643761,0.31036073
No Fire & Smoke,NO2,36,3.2627168,6.5462923,4.731703,0.40006995
No Fire & Smoke,PM10,36,9.5834,16.427458,27.221294,0.2042461
No Fire & Smoke,PM2.5,36,2.5666919,10.1509695,5.145099,0.26302344
No Fire & Smoke,O3,42,6.7714,7.320667,8.817751,0.43871474
No Fire & Smoke,SO2,42,0.34304142,5.552689,0.563101,0.26714736
